,0,1,2,3,4,5,6,7,8,9,10,11
0,0.31641412,0.250364,0.21538223,0.18145113,0.17655401,0.2631169,0.22102757,0.19494835,0.23905045,0.23039874,0.21122405,0.21459451
1,0.2189118,0.18501395,0.26512012,0.23553608,0.1789803,0.16096464,0.14815523,0.20810935,0.19149458,0.21250407,0.15800492,0.15583278
2,0.28269228,0.60415703,0.30909422,0.24995992,0.3804792,0.19451515,0.16968626,0.16391811,0.1895693,0.22468686,0.2532924,0.17233855
3,0.49936432,0.19791463,0.33199388,0.2718383,0.15891495,0.17589691,0.22002333,0.22255203,0.142565,0.18864948,0.15522215,0.278978
4,0.24843173,0.2506528,0.3338883,0.19720423,0.24102706,0.2688494,0.21075745,0.20493183,0.23709852,0.17161131,0.1743754,0.17293566
5,0.3526123,0.30733398,0.24352607,0.15494576,0.19872215,0.15257576,0.13590825,0.17127708,0.14195073,0.16075066,0.2022844,0.20689791
6,0.23217753,0.22057673,0.3480463,0.24755397,0.22568518,0.13392119,0.1304815,0.25718522,0.15298223,0.14747822,0.14918697,0.123345226
7,0.46342048,0.23421416,0.16680387,0.14893386,0.14583343,0.14014499,0.16892493,0.15922138,0.20514128,0.17569777,0.1689129,0.1496739
8,0.32913846,0.24539444,0.19185075,0.24583386,0.1395538,0.11709346,0.1534893,0.14658302,0.149507,0.1810009,0.18628602,0.14162983
9,0.22725432,0.19930634,0.21386144,0.15162674,0.12171278,0.16450192,0.13654844,0.17777719,0.16417567,0.15797208,0.18055093,0.16156709
10,0.24347025,0.30483878,0.19903962,0.13079888,0.1181728,0.12308392,0.1461913,0.14370199,0.1907947,0.20829353,0.1485195,0.13348372
11,0.28961313,0.2032316,0.1917449,0.12512983,0.11813325,0.1282437,0.1228521,0.14519258,0.15592891,0.16324642,0.14739451,0.14493284
12,0.23976892,0.20942369,0.14761281,0.12323145,0.13404945,0.15201944,0.12677547,0.14545399,0.13223305,0.16016202,0.1316611,0.15879127
13,0.19790478,0.1735622,0.14359032,0.15074377,0.15133944,0.13209896,0.13207987,0.11574279,0.13196722,0.1568034,0.14057902,0.1291928
14,0.14859824,0.16922307,0.1369105,0.124939255,0.1585024,0.13032088,0.11963014,0.11474426,0.15930662,0.15684018,0.18668449,0.16253735
