,0,1,2,3,4,5,6,7,8,9,10,11
0,0.38046005,0.6542795,0.25743628,0.27590388,0.26815408,0.28804457,0.29928973,0.24817108,0.25761268,0.28062358,0.2840781,0.34099212
1,0.28879878,0.29782692,0.32000193,0.2553512,0.22355562,0.31243595,0.2887988,0.22078297,0.25072438,0.3649395,0.28734952,0.2646778
2,0.18997042,0.16155422,0.23257948,0.28472817,0.23991725,0.18959501,0.23608652,0.24157768,0.17814073,0.22710422,0.21751152,0.25486073
3,0.19928935,0.21109948,0.21684608,0.21387015,0.20219746,0.18642105,0.26717678,0.23153713,0.3260118,0.21622239,0.13420916,0.23857789
4,0.28942668,0.1896651,0.21334244,0.20238747,0.22054496,0.27622387,0.31880566,0.2267352,0.23462647,0.3208693,0.23866929,0.26710057
5,0.26153713,0.25328344,0.2109882,0.23188505,0.23927806,0.21489725,0.23192857,0.21327038,0.3630839,0.2764951,0.25443265,0.24785247
6,0.19034897,0.17367244,0.21007682,0.17461151,0.20631129,0.18962215,0.2208567,0.26702538,0.23659897,0.28170726,0.28937116,0.29360333
7,0.16857804,0.15167995,0.23551227,0.20377217,0.14619823,0.20977026,0.2007702,0.36034912,0.32607657,0.29717824,0.25220445,0.26680163
8,0.29383412,0.1949696,0.14467482,0.19546264,0.17240655,0.21422319,0.17902042,0.1790268,0.2787395,0.16885921,0.23477629,0.16499592
9,0.16712305,0.21659753,0.16819131,0.18178475,0.14775474,0.16876891,0.21095663,0.23961055,0.23702964,0.32447794,0.20288911,0.1528547
10,0.36479107,0.18011566,0.24269342,0.23939154,0.1518826,0.20246927,0.23321265,0.17176096,0.21294563,0.16565372,0.18672474,0.23814009
11,0.28310427,0.22407287,0.20352028,0.1783348,0.1938213,0.22672552,0.18872288,0.29999483,0.2418611,0.18075927,0.20155595,0.12494026
12,0.24595389,0.15823767,0.17986465,0.18205035,0.3333449,0.20145503,0.16057552,0.17521897,0.28104538,0.25743994,0.18336424,0.1905135
13,0.13589658,0.25027582,0.20119417,0.25474435,0.19892403,0.19979522,0.1801014,0.26995996,0.15869087,0.21599229,0.22020137,0.15235242
14,0.16832696,0.27427733,0.17285478,0.12922762,0.16369823,0.1638884,0.23960587,0.18081075,0.20197117,0.24019614,0.16517739,0.25007346
15,0.20732108,0.17197406,0.16745736,0.2133068,0.18985465,0.19100139,0.19784102,0.20830646,0.19547845,0.16502385,0.22755267,0.17886348
16,0.250305,0.17849632,0.14213234,0.12562044,0.19214076,0.14850904,0.151984,0.18202792,0.24048638,0.20980304,0.15025249,0.16428283
17,0.25766417,0.15919198,0.17510287,0.16544218,0.21078272,0.1428085,0.14266089,0.2592521,0.24111265,0.15686429,0.22909693,0.17287776
18,0.24791513,0.16004473,0.17839307,0.2066047,0.17306432,0.121487364,0.17287774,0.22962897,0.20003062,0.1961459,0.21122195,0.16001181
19,0.16757384,0.19498649,0.21064204,0.17660058,0.17228344,0.22242206,0.15532404,0.22935274,0.19063091,0.2037728,0.16524741,0.13488543
20,0.20835891,0.15619457,0.1399348,0.196422,0.1949759,0.1376896,0.15186389,0.16595238,0.18976966,0.20563492,0.16731848,0.14763647
21,0.17144041,0.15524799,0.15634593,0.16972242,0.20533837,0.13011429,0.21909818,0.17775245,0.1854994,0.15229028,0.16859898,0.21119753
22,0.17917018,0.15803194,0.15748669,0.18318073,0.1633207,0.27328748,0.19287166,0.17175755,0.21070822,0.14160088,0.16808479,0.16445178
