,0,1,2,3,4,5,6,7,8,9,10,11
0,0.26379478,0.3489328,0.37873057,0.13992554,0.19997619,0.26803544,0.13467336,0.19329113,0.18640915,0.26273116,0.31742063,0.657026
1,0.21495104,0.39526954,0.3080722,0.14204966,0.2703422,0.15355286,0.21345767,0.14008206,0.23033316,0.16607416,0.13032892,0.39582694
2,0.2372138,0.3165628,0.15948148,0.16153274,0.1779173,0.12895516,0.12669908,0.15139788,0.1428516,0.14788231,0.11437701,0.21708801
3,0.21980208,0.16695821,0.24394536,0.17478663,0.26254874,0.107230484,0.16449262,0.14790751,0.15332682,0.1194167,0.14786635,0.14847763
4,0.17455831,0.3691553,0.15423417,0.16931693,0.24940363,0.14483042,0.19999817,0.15481992,0.14371309,0.11512442,0.10381899,0.22631031
5,0.21412015,0.18426943,0.15249495,0.16406743,0.32972723,0.19153666,0.15260257,0.11533058,0.11217426,0.11597044,0.11892429,0.16487108
6,0.24925502,0.16787437,0.17456318,0.1616971,0.2346007,0.10588065,0.15787794,0.13297504,0.13488293,0.12627062,0.120881386,0.18503018
7,0.11840654,0.1594077,0.14975907,0.20507927,0.2371994,0.14008342,0.11109844,0.12483664,0.09656569,0.11940336,0.12858109,0.111178294
8,0.1528017,0.17184013,0.14246927,0.17468113,0.2909151,0.15643592,0.13407977,0.11845897,0.11770661,0.13680491,0.12059498,0.14045884
9,0.16519924,0.14515468,0.14486462,0.2371839,0.2537862,0.11302309,0.16298856,0.13738264,0.12239236,0.11695137,0.1288484,0.12057458
10,0.16508092,0.1360108,0.16771635,0.13579832,0.22876993,0.11099118,0.15227534,0.12512583,0.12358993,0.15132697,0.12316544,0.13479197
11,0.2048239,0.1287876,0.15777089,0.15376914,0.25106996,0.10633947,0.15701675,0.12599668,0.13932547,0.12761751,0.10145485,0.15339571
12,0.1612478,0.13178477,0.19140084,0.14471138,0.30330318,0.14361157,0.15346806,0.119728796,0.11555499,0.11688936,0.13481608,0.12895851
13,0.15683189,0.16084889,0.16043769,0.1931565,0.27248925,0.12479959,0.1450688,0.15678492,0.10799503,0.10033818,0.12979573,0.12411297
14,0.16997243,0.17007199,0.16770199,0.16054344,0.3287212,0.12704517,0.16735364,0.13628277,0.115591,0.11198902,0.112523526,0.17197406
15,0.15448844,0.1537594,0.13436356,0.14164928,0.15708673,0.132263,0.22092614,0.1480591,0.10899956,0.117220074,0.13578612,0.20795369
16,0.18130945,0.16725716,0.16047561,0.14179644,0.2915926,0.15945742,0.14282942,0.12722115,0.17279375,0.110295594,0.11015144,0.15472463
17,0.14848162,0.17036864,0.1249173,0.15834418,0.22460173,0.118315235,0.11972512,0.13442081,0.1165232,0.11959418,0.12560853,0.13983151
