,0,1,2,3,4,5,6,7,8,9
0,0.25260216,0.25142893,0.2486234,0.2437706,0.26246545,0.24706456,0.26003367,0.26220495,0.24577299,0.2588962
1,0.21206768,0.21125376,0.21571155,0.21273091,0.21035263,0.22133812,0.21777874,0.2131155,0.22083905,0.20758095
2,0.2847098,0.27090493,0.2478533,0.24654306,0.2432372,0.2371782,0.26101494,0.25470668,0.2736234,0.2532236
3,0.1895422,0.19111368,0.20658314,0.15760592,0.2863304,0.18282476,0.29486373,0.21636544,0.21428601,0.23299289
4,0.17356607,0.18446043,0.1778351,0.17034684,0.19079107,0.22344916,0.11544676,0.18771279,0.15830937,0.15362652
5,0.1722551,0.26487443,0.27338353,0.15382448,0.24075729,0.17162412,0.17468828,0.21003847,0.30272782,0.16624436
6,0.20685016,0.27080026,0.27590203,0.22824094,0.21020603,0.22534384,0.28515026,0.17687394,0.31009385,0.2924207
7,0.28845996,0.19492865,0.17597166,0.31914955,0.27515694,0.14353372,0.1919175,0.24882469,0.17022693,0.16560122
8,0.2925198,0.15845047,0.12631664,0.14567435,0.267579,0.22282533,0.23186637,0.26406842,0.20374045,0.12207022
9,0.22113071,0.21050116,0.2549932,0.20935373,0.1563122,0.18137598,0.23425542,0.20427784,0.17843562,0.25249177
10,0.22611794,0.21618879,0.19264281,0.25901926,0.15655938,0.26148167,0.23675187,0.17200007,0.20714834,0.16260155
11,0.2242314,0.18809426,0.26479214,0.26008618,0.13728379,0.1923315,0.21079174,0.15742767,0.21440573,0.16370487
12,0.15356544,0.28578824,0.24692294,0.22951984,0.18447012,0.20699021,0.18874748,0.15630652,0.19641335,0.1662651
13,0.25307518,0.18462054,0.12328309,0.26704195,0.28384155,0.12435949,0.197792,0.2000186,0.26483193,0.18669847
14,0.16685191,0.1812257,0.20868215,0.18941152,0.22260213,0.20594157,0.18534958,0.17269704,0.15845396,0.18036397
15,0.15988281,0.1340318,0.16906308,0.16342059,0.18690525,0.1574863,0.11433338,0.15892059,0.14707097,0.32305297
