,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.6477447,0.63941765,0.65361834,0.64013,0.6510824,0.64792854,0.64090794,0.6463368,0.65109974,0.6557582,0.64791536,0.6477133,0.6535949,0.64699596,0.6537864,0.6426445,0.65542334,0.65327066,0.6534599,0.6531608,0.6438715,0.64634883,0.6512191,0.6611326,0.65439904,0.65181494,0.65303874,0.65018845,0.64529836,0.65014625,0.6558321,0.6489408,0.6644828,0.6454046,0.65065765,0.6490585,0.6525198,0.6510579,0.6574035,0.64971524,0.65281975,0.6452149,0.647974,0.6507481,0.6415211,0.6500038,0.6522934,0.65196466,0.64840734,0.6511848,0.6466296,0.6512769,0.6527239,0.6465765,0.6479347,0.65040815,0.6500967,0.64474404,0.6451315,0.65389323,0.65168864,0.65287226,0.6505938,0.6495293,0.64480114,0.6529319,0.647234,0.6470088,0.6538476,0.6517508,0.650533,0.64692384,0.6481179,0.64561504,0.6543487,0.6528058,0.64488125,0.6470818,0.6390305,0.6457873,0.6430682,0.65113646,0.6434003,0.6521062,0.6596271,0.64592373,0.65771717,0.64329875,0.6456363,0.658261,0.64724505,0.65583557,0.65219784,0.64981884,0.64963454,0.64811003,0.649428,0.6506323,0.65158623,0.652163
1,0.2926711,0.29322675,0.28177318,0.29511398,0.27701026,0.2953187,0.2794795,0.30596638,0.29706275,0.30379236,0.30313888,0.27707064,0.29204345,0.28795302,0.29065236,0.2946332,0.28453404,0.29700518,0.2845191,0.29446018,0.3041759,0.2916522,0.29106808,0.29641327,0.29867503,0.2900686,0.28514662,0.290739,0.2866949,0.28665328,0.29486826,0.2847602,0.3009521,0.27045262,0.30220258,0.2904781,0.2941455,0.30011892,0.2896165,0.27354795,0.29785895,0.3042168,0.27663586,0.2979038,0.30047986,0.29150346,0.27923912,0.29324102,0.27139458,0.296,0.29092765,0.28867975,0.290555,0.2946871,0.2788899,0.2927396,0.27856812,0.29202667,0.28785783,0.2855402,0.292314,0.28429782,0.2833081,0.28788227,0.282791,0.26772073,0.30196092,0.30596182,0.29555506,0.29815665,0.28228492,0.2936738,0.29291144,0.29057398,0.28897524,0.29477116,0.30284175,0.30642292,0.28614363,0.2925738,0.29981813,0.29641008,0.293737,0.29410997,0.28594145,0.28652388,0.2825733,0.2913286,0.28313407,0.29359016,0.275632,0.29161668,0.28051898,0.27465788,0.28902158,0.28567797,0.29571646,0.2803483,0.30266637,0.29453155
2,0.1757665,0.16131978,0.1595586,0.16208833,0.16662264,0.1621399,0.17988807,0.15722908,0.16019872,0.16292898,0.15851742,0.16041565,0.15776724,0.1630015,0.15920469,0.1618317,0.16814417,0.16232498,0.17158227,0.16248631,0.15672241,0.16249196,0.16266972,0.1619026,0.1635487,0.16300946,0.15906337,0.16132286,0.16073836,0.16081254,0.16737765,0.16608068,0.1620692,0.1579413,0.15982157,0.1636647,0.16109835,0.16026847,0.16364005,0.16479385,0.15778954,0.16401017,0.16184679,0.16091263,0.15764728,0.16111039,0.16507933,0.16202058,0.16193132,0.15950342,0.1612648,0.16301876,0.16401657,0.16209541,0.16276063,0.1650351,0.16211854,0.16187203,0.15884832,0.1636811,0.16111606,0.16557543,0.15870422,0.16829942,0.16390105,0.16299966,0.15963897,0.16120751,0.16033535,0.16875353,0.16384274,0.15711889,0.16169496,0.15849131,0.16463584,0.16556068,0.16205762,0.1566999,0.16712964,0.1632077,0.16575678,0.1592358,0.16051088,0.16193947,0.1648061,0.1623401,0.15995568,0.16215484,0.16740076,0.16258782,0.16882451,0.15665083,0.16000795,0.16468652,0.16564155,0.16355291,0.1595265,0.16016975,0.15743738,0.16297066
3,0.18054058,0.20220083,0.17071545,0.1956679,0.19001137,0.19886543,0.22295783,0.2232463,0.21393636,0.20203964,0.17035596,0.22844712,0.23862481,0.18942815,0.18621896,0.19860305,0.21161184,0.1839579,0.18553837,0.21485068,0.1803717,0.2032993,0.22281933,0.19488262,0.2298974,0.20497109,0.2577909,0.22565278,0.22799149,0.214603,0.18828467,0.1905422,0.19350596,0.20873871,0.22846644,0.17994845,0.22122712,0.18839622,0.2071773,0.19775106,0.20205863,0.2051465,0.22606847,0.23325478,0.19159816,0.1784055,0.22786213,0.21180096,0.20408961,0.22013904,0.24299322,0.19243208,0.22225773,0.1970651,0.23360708,0.18379809,0.22955455,0.20698203,0.18589434,0.2038477,0.21527681,0.2093966,0.20725185,0.19794273,0.21942152,0.23144495,0.19060752,0.22469355,0.20717148,0.21554992,0.20604068,0.18723932,0.20209852,0.20174444,0.19784477,0.2026975,0.22984572,0.20259863,0.21793471,0.22205077,0.21008459,0.23776734,0.208463,0.22441845,0.22453007,0.19993056,0.21225926,0.21986735,0.19691883,0.19621186,0.19688608,0.17900366,0.2227142,0.22422238,0.20386189,0.17506985,0.19143754,0.20272407,0.19590919,0.19857386
4,0.21694225,0.18822402,0.21982816,0.21997146,0.18157972,0.1799914,0.19079506,0.1959452,0.18928508,0.1913768,0.16115779,0.19788644,0.2032175,0.17853837,0.20782699,0.20670971,0.19509277,0.21629238,0.20361164,0.19964966,0.20122272,0.22574988,0.20014234,0.2078718,0.22019982,0.20473361,0.21517405,0.20778385,0.21073772,0.19139841,0.19847926,0.19157338,0.23008785,0.18336248,0.17649399,0.21039979,0.21592672,0.21653518,0.17371964,0.23924899,0.20599645,0.21871506,0.20052105,0.17548971,0.20465842,0.21050903,0.19261427,0.21546064,0.211635,0.2109314,0.20583679,0.22514099,0.21163258,0.241854,0.20550406,0.19740543,0.20026192,0.20762947,0.20077461,0.21065325,0.21873151,0.21835642,0.20417117,0.21356402,0.19507702,0.22409783,0.192352,0.19490126,0.18645436,0.20155685,0.21330394,0.20570686,0.17631243,0.18443877,0.22823317,0.19129582,0.22307219,0.20676313,0.22051364,0.2078559,0.20253934,0.20060715,0.2151585,0.21285285,0.2262513,0.19174473,0.17645624,0.20747158,0.20474906,0.20828462,0.22372518,0.20646073,0.19721437,0.23673064,0.19356062,0.21232495,0.18775651,0.17214587,0.22234592,0.19716513
5,0.15689951,0.26598498,0.25120243,0.316933,0.19274023,0.18134214,0.23295599,0.17929637,0.2007344,0.20855428,0.19101591,0.27762973,0.25507966,0.22618887,0.18122785,0.16692995,0.14796762,0.16844054,0.26715618,0.15976706,0.24939889,0.16520089,0.21084711,0.19850913,0.21600953,0.24638724,0.24445505,0.17443739,0.22799999,0.20583734,0.19718553,0.21863936,0.16715203,0.2115971,0.15930325,0.2510729,0.1824678,0.21071681,0.13296238,0.21600506,0.21082404,0.19442269,0.2131899,0.161271,0.23008443,0.15037636,0.25352478,0.23213069,0.22190829,0.27054366,0.23277065,0.16147852,0.20635965,0.16088805,0.22144738,0.18083872,0.13732901,0.18925494,0.25223127,0.22516365,0.22225754,0.17375432,0.21478505,0.19052514,0.21040936,0.1716055,0.1763369,0.22796191,0.15986714,0.21230498,0.2946639,0.21456617,0.14864992,0.26599693,0.17386538,0.21307638,0.2001166,0.21427478,0.25628054,0.22653762,0.20558755,0.15765506,0.19026273,0.23757759,0.19300649,0.1704503,0.1758632,0.16756904,0.24812979,0.1939519,0.16921616,0.17793968,0.28536886,0.14593008,0.18348034,0.25221273,0.28609854,0.25729826,0.21962874,0.16311423
6,0.22152884,0.17681164,0.15743071,0.18300125,0.17902434,0.1949707,0.14643046,0.2392491,0.16688882,0.21245255,0.23544674,0.16675802,0.14021735,0.16278175,0.18862209,0.27074862,0.21137002,0.1431796,0.13898699,0.16770299,0.1408945,0.20128027,0.14088817,0.15720046,0.16246594,0.16701329,0.19767207,0.15730806,0.13549964,0.14727145,0.13667125,0.14976601,0.13360558,0.18299858,0.22241348,0.19095005,0.26006275,0.18395558,0.20132275,0.20325541,0.14309604,0.19694532,0.21856982,0.20548855,0.12416985,0.20861915,0.18728709,0.13903439,0.15553655,0.17396104,0.19770844,0.20494373,0.14726499,0.19730458,0.22042096,0.20742041,0.19012111,0.16538492,0.17858288,0.16916636,0.23919356,0.13748825,0.15283376,0.15686773,0.20222265,0.13567236,0.15830423,0.1636513,0.18480876,0.2190124,0.17923787,0.16057974,0.3080693,0.16477509,0.17646988,0.22886558,0.17286862,0.15663525,0.17592551,0.1545579,0.15461537,0.20621523,0.1566374,0.1833516,0.16453819,0.18436988,0.19651096,0.24661282,0.15420568,0.17042533,0.24877337,0.20418637,0.16341814,0.19614853,0.19238846,0.16963129,0.19309364,0.1398749,0.14868465,0.21684523
7,0.16723534,0.1564764,0.14932406,0.17860377,0.18453716,0.22159807,0.15174887,0.25976968,0.16648203,0.17708418,0.20619634,0.18931504,0.12882516,0.2046394,0.25916427,0.23893574,0.15464383,0.14952923,0.12107315,0.22481668,0.13217473,0.2166304,0.1625911,0.14177665,0.1615999,0.1965194,0.16599886,0.15881158,0.16970028,0.1707654,0.1259012,0.13271439,0.13162583,0.14243221,0.18044606,0.13733758,0.2170279,0.16232675,0.19049552,0.16460751,0.14362319,0.23021287,0.21484628,0.15758076,0.18178438,0.16820143,0.13442281,0.16982265,0.14791277,0.15222722,0.2074369,0.16835858,0.21341631,0.17684306,0.21056098,0.17556354,0.23004875,0.19080244,0.13678885,0.15907674,0.17034647,0.15310411,0.2336086,0.15861851,0.2711675,0.23235857,0.17707717,0.14708517,0.18165752,0.1327928,0.19439793,0.15518959,0.20918387,0.14236984,0.20047875,0.1909245,0.17720225,0.13028514,0.16018191,0.17421187,0.23274928,0.24571474,0.20175914,0.15707712,0.1536327,0.16428265,0.17519476,0.15388729,0.20683874,0.12831068,0.21186146,0.17143707,0.1798259,0.2252384,0.17117046,0.17187425,0.20215344,0.13907011,0.1263373,0.19341326
8,0.21094954,0.34926656,0.18075328,0.1881693,0.22889745,0.17322193,0.1464865,0.19062571,0.18287158,0.21704194,0.16254058,0.13281931,0.16398409,0.17956997,0.17300537,0.18967059,0.26186502,0.19607571,0.14837542,0.18031092,0.1746386,0.30539745,0.13361447,0.17705475,0.18360871,0.16689587,0.14903452,0.2080907,0.20221278,0.1886869,0.17706107,0.13933237,0.22490016,0.13672645,0.17762366,0.2547387,0.17206874,0.20143256,0.13873291,0.17749497,0.18735494,0.17249034,0.33629745,0.1494683,0.20872039,0.25891,0.13336328,0.16413683,0.18818617,0.15941241,0.21846995,0.3105231,0.20112512,0.1346046,0.20108612,0.25916573,0.22801411,0.17461069,0.2173066,0.28876844,0.18929106,0.20644392,0.21126127,0.14351167,0.17625462,0.18658647,0.19269553,0.17684606,0.18489914,0.16328393,0.15520807,0.12761344,0.21655175,0.27444085,0.14198945,0.1772377,0.23357329,0.11083414,0.14270392,0.19107656,0.22725987,0.13358457,0.22270331,0.20697883,0.22055964,0.15287453,0.15129378,0.16846003,0.16695966,0.19420403,0.1655225,0.20709243,0.15310101,0.17186554,0.28160068,0.14573167,0.20110118,0.19070688,0.18404734,0.21139225
9,0.24271399,0.18566859,0.26035464,0.22367638,0.30694792,0.20259148,0.16287005,0.17442927,0.17463686,0.21647689,0.17260066,0.21294984,0.19819915,0.20341721,0.23940349,0.18099144,0.18183202,0.18657477,0.19652158,0.25612417,0.18256444,0.2442275,0.25372687,0.1922097,0.2655948,0.17786674,0.22425373,0.2305177,0.19953744,0.15477477,0.19044374,0.18398519,0.20356983,0.21297836,0.22926363,0.21333748,0.17617059,0.2029539,0.25686797,0.2424443,0.18711987,0.2731145,0.20360796,0.19184051,0.20572452,0.1860551,0.17218749,0.1981051,0.2002291,0.18905084,0.21552986,0.22584729,0.21559417,0.19645318,0.21010086,0.16932124,0.2315131,0.20247295,0.18468402,0.2576406,0.2851245,0.17590335,0.2382464,0.22856152,0.16531998,0.24242741,0.20091113,0.15322754,0.21974438,0.16924885,0.20241028,0.26969782,0.16888306,0.17009124,0.25895265,0.29068267,0.20489524,0.29935318,0.21272083,0.16054243,0.21934055,0.20415139,0.22618236,0.18997076,0.25513333,0.22521073,0.24082965,0.20484461,0.21047708,0.25006026,0.17669025,0.16794443,0.20432632,0.2479009,0.23992378,0.20929915,0.2735405,0.15817414,0.29787612,0.22012442
