,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.26663965,0.2639161,0.26470116,0.2655087,0.26406536,0.26162407,0.2633621,0.2647126,0.25898165,0.2666632,0.26302814,0.26224577,0.26117676,0.2609316,0.2683014,0.25953183,0.2613075,0.2661353,0.26257482,0.25830862,0.25542638,0.25992358,0.26351604,0.26701623,0.25571418,0.26327986,0.25882998,0.26964378,0.26146036,0.26790735,0.26191112,0.25993177,0.26601794,0.2668164,0.26488557,0.26413733,0.26700276,0.26383334,0.26554453,0.2630126,0.25849134,0.26574025,0.2675451,0.26116177,0.26275912,0.26339972,0.2660696,0.26413006,0.26126254,0.2630303,0.2639725,0.2610684,0.2601224,0.26595777,0.25932047,0.2594012,0.26382777,0.26798835,0.263623,0.26440164,0.2639792,0.26686993,0.26396477,0.2640537,0.26142693,0.26229563,0.25758985,0.25854087,0.25933638,0.26219982,0.25942147,0.26305345,0.26198918,0.26376712,0.26367524,0.26559654,0.26307777,0.26389343,0.2653502,0.26909918,0.260666,0.26283535,0.26557943,0.26436713,0.26227087,0.26194295,0.26026094,0.26869166,0.26343006,0.2621424,0.26112294,0.26159576,0.26204687,0.2638342,0.26187593,0.2604484,0.27024367,0.26388618,0.27263793,0.26197034
1,0.16647351,0.19132587,0.15888226,0.15528157,0.16141939,0.16643761,0.1951458,0.15969412,0.1916749,0.18176392,0.17682938,0.15588912,0.17711976,0.14873968,0.20807415,0.15650728,0.20093407,0.14765458,0.1717553,0.15377226,0.16193289,0.16456607,0.20911638,0.18177223,0.13808219,0.15267819,0.13464195,0.16010872,0.17398968,0.16496013,0.16778603,0.16788924,0.16346815,0.15386413,0.169993,0.17618343,0.15471591,0.13536084,0.17064361,0.17058028,0.2002986,0.18147454,0.17705408,0.15478921,0.17781414,0.17124917,0.16990303,0.16375937,0.15154436,0.14566329,0.17268896,0.17192678,0.14942369,0.15849732,0.16245195,0.1645787,0.16271095,0.17006633,0.16366531,0.15802945,0.1483886,0.19686176,0.1650161,0.18676561,0.21918349,0.17669944,0.15563034,0.17245418,0.15275007,0.19675209,0.21361518,0.19425242,0.17761451,0.16190393,0.16389723,0.17108114,0.17244953,0.17994767,0.17888752,0.2076699,0.16422406,0.15619908,0.14676005,0.1608017,0.14084381,0.16083588,0.16089445,0.17766054,0.1602026,0.14975636,0.15749308,0.15937066,0.17633097,0.17607534,0.16946208,0.1599375,0.16144739,0.13643157,0.19085614,0.13632074
2,0.18674506,0.19925033,0.2399518,0.21255916,0.19277583,0.19952983,0.18751742,0.1641012,0.1447965,0.1601755,0.1914883,0.16909033,0.2116621,0.18651019,0.20628563,0.19414048,0.169867,0.19615996,0.18420142,0.23424461,0.22103462,0.19913602,0.17857337,0.16816272,0.2609443,0.20407882,0.2069194,0.23671857,0.1932912,0.18296723,0.2002394,0.17522916,0.186715,0.20616414,0.20233999,0.21354392,0.19155553,0.18584618,0.20559739,0.21036965,0.14535569,0.16231857,0.177926,0.19405207,0.17384835,0.19071026,0.19428542,0.20427506,0.22180568,0.2487692,0.1647676,0.23472016,0.21955514,0.20810395,0.16460063,0.19314612,0.17078076,0.18775567,0.20820174,0.1902496,0.23609154,0.18464741,0.21813092,0.20181206,0.17741165,0.18823801,0.17924125,0.22197197,0.22597182,0.2205831,0.17311628,0.18203573,0.19966568,0.20933068,0.21151182,0.17150687,0.18525942,0.17652412,0.1659308,0.15903136,0.17328438,0.18509917,0.20274445,0.24666253,0.20797248,0.19414936,0.20940784,0.2015892,0.21415645,0.18055715,0.1627895,0.1978752,0.20715496,0.21728858,0.18376532,0.18800549,0.19370273,0.20000552,0.22056457,0.21350837
3,0.26412144,0.19435674,0.24779955,0.1832297,0.24783239,0.20164107,0.17907967,0.22062068,0.20230922,0.1740588,0.24560548,0.18976416,0.1441722,0.26274285,0.15197834,0.18046808,0.24116193,0.20252301,0.14623266,0.21878928,0.15724964,0.2431613,0.17266837,0.28387043,0.15736648,0.2194005,0.23536651,0.28697255,0.19155966,0.22330005,0.17981869,0.26648125,0.25843826,0.24387556,0.246896,0.25257343,0.19631195,0.19834688,0.18942799,0.19407515,0.135883,0.17450334,0.22245254,0.1560201,0.15512271,0.24915305,0.18319207,0.23678868,0.16070089,0.25206554,0.16653425,0.23605224,0.26055744,0.16309434,0.21814087,0.1862883,0.26842183,0.25161397,0.23174866,0.21512935,0.16944861,0.16887584,0.2180343,0.25383765,0.13954353,0.29448265,0.15693496,0.23459043,0.17169888,0.1846601,0.17200314,0.26823398,0.17505293,0.26896363,0.28490883,0.14616653,0.26434284,0.24501076,0.27120987,0.2664369,0.25489607,0.16880983,0.24771957,0.18424623,0.24053873,0.18441498,0.2364649,0.16722238,0.1848019,0.25637084,0.2819881,0.2594203,0.2748133,0.26769343,0.28569788,0.20461299,0.184382,0.16670796,0.20278487,0.23575482
4,0.19321623,0.24008942,0.16731097,0.2439457,0.15501836,0.26847467,0.22573628,0.1777994,0.22234394,0.2424015,0.18353847,0.22903576,0.24828658,0.16646922,0.27449897,0.26222503,0.20087643,0.21774223,0.2671718,0.17039853,0.25526237,0.2163837,0.25951976,0.16464774,0.24935637,0.22275196,0.18519162,0.15336174,0.25698608,0.19737133,0.24384256,0.19790186,0.17000729,0.14236745,0.17083308,0.19729994,0.23776132,0.19775109,0.23964468,0.2042416,0.24162939,0.24939743,0.2459278,0.2626729,0.25490028,0.1368782,0.22206502,0.14165941,0.23151284,0.18552698,0.24250156,0.179496,0.15136808,0.2489088,0.20874736,0.26696888,0.17435195,0.15029864,0.19379224,0.14788646,0.19458468,0.24549748,0.18325844,0.14025925,0.2656938,0.1943228,0.23759833,0.13983488,0.24743311,0.23470005,0.26188272,0.1678684,0.27546376,0.16567637,0.16034599,0.25920406,0.14034499,0.22688861,0.19355233,0.19119194,0.22183652,0.27361548,0.14931817,0.232045,0.18508895,0.26051497,0.15294576,0.2548719,0.19552541,0.16256572,0.15586276,0.1404366,0.14546257,0.14215085,0.15839645,0.22653152,0.25253147,0.27581054,0.17187817,0.17840931
5,0.14474769,0.14449099,0.15732576,0.15178025,0.12583774,0.17177726,0.1513692,0.13234319,0.18402827,0.15140739,0.13318086,0.1406875,0.15578505,0.16257463,0.13650045,0.13820241,0.11548018,0.17330089,0.14871496,0.14956546,0.15325353,0.18493184,0.15967458,0.15161596,0.12548867,0.12785447,0.14916655,0.15613402,0.15491337,0.15081236,0.14782993,0.1861113,0.12980488,0.13613254,0.13935997,0.13575187,0.1789051,0.13218777,0.14965554,0.17832382,0.13536637,0.16222735,0.13958561,0.17314431,0.15527302,0.13113229,0.14577639,0.1535074,0.14985254,0.1678346,0.14540118,0.1400665,0.1473595,0.15869628,0.14203289,0.14143692,0.12999907,0.14006384,0.13398905,0.13321866,0.1358191,0.17371309,0.13787824,0.1663106,0.14521965,0.13244472,0.1501242,0.1287697,0.16789995,0.13437484,0.15790744,0.14771783,0.15087023,0.15798065,0.15783185,0.14280741,0.14666276,0.11922854,0.16324934,0.15696587,0.15148208,0.15506047,0.1489284,0.1456369,0.11687446,0.15000844,0.13925236,0.13396159,0.16169901,0.1327273,0.13131934,0.13529074,0.16077438,0.14102967,0.12348535,0.14657888,0.16710815,0.13726741,0.15595041,0.145895
6,0.12391649,0.1548635,0.14669427,0.15694727,0.15537794,0.11190631,0.12055051,0.12748046,0.150274,0.12362115,0.14884429,0.10791455,0.12747407,0.12034896,0.13798429,0.14311206,0.15621364,0.11447378,0.119359374,0.124232695,0.122924216,0.13273454,0.13284695,0.14352295,0.14503865,0.17496648,0.13295841,0.13433702,0.114479996,0.13913757,0.12608922,0.14561823,0.21150902,0.17046748,0.11346406,0.13708676,0.13816632,0.11225191,0.12821613,0.107560396,0.10885785,0.11673404,0.119874,0.11742377,0.11373059,0.13128155,0.117475785,0.15309334,0.13542272,0.143194,0.15059501,0.18102674,0.12651487,0.12621158,0.12979779,0.13864109,0.14239214,0.17630164,0.13362283,0.15520847,0.13550486,0.15358955,0.11156012,0.12285364,0.15691106,0.14313924,0.13381186,0.12695725,0.14321168,0.13216904,0.13024999,0.14256921,0.13747934,0.12844445,0.118317865,0.12385796,0.12213333,0.12976229,0.16009597,0.12776281,0.15318622,0.13223025,0.11864145,0.16304852,0.1296072,0.1641323,0.1317076,0.13314602,0.13223398,0.1330305,0.14361763,0.20489405,0.18156779,0.13232508,0.11821442,0.15088117,0.12304911,0.13169396,0.1249897,0.1435209
7,0.11706356,0.14987636,0.11711465,0.108996265,0.11283162,0.17091823,0.12920839,0.12881868,0.13259904,0.18980561,0.14181027,0.2069538,0.18712524,0.117937766,0.14743902,0.13415587,0.1209217,0.13631946,0.13956726,0.10951872,0.13375801,0.12544371,0.15787129,0.12727344,0.15977804,0.11067337,0.13600187,0.121263206,0.111306965,0.11990169,0.12378944,0.14290625,0.15073965,0.11882578,0.14490512,0.18605909,0.13388039,0.14256153,0.15926997,0.13957447,0.120602325,0.15822095,0.12335546,0.17074257,0.12240253,0.15343818,0.15437289,0.13180245,0.11343862,0.13270713,0.11590162,0.12847596,0.13052192,0.19911776,0.17407256,0.134721,0.14244004,0.12728086,0.13208902,0.119776174,0.14847216,0.14115672,0.15454769,0.1587815,0.14297792,0.13114524,0.1262248,0.10217318,0.14008567,0.12024973,0.12397726,0.13506462,0.13103944,0.12400258,0.12791258,0.12126207,0.13249364,0.14377388,0.119410284,0.13701904,0.114523456,0.12856583,0.15092438,0.11166513,0.1519004,0.15943158,0.14722508,0.12424976,0.1515692,0.1321369,0.1179955,0.13296111,0.123134,0.13036674,0.1307748,0.119623095,0.123124085,0.13487318,0.14147179,0.15950619
8,0.14089087,0.13525096,0.14098886,0.12529737,0.12479013,0.12895815,0.12656486,0.1142104,0.109058075,0.12875296,0.13240206,0.13245165,0.119181685,0.14952046,0.12666434,0.11049233,0.12638694,0.11425051,0.12050271,0.121760845,0.11960056,0.12969968,0.15525337,0.10935655,0.12595464,0.11277136,0.15537778,0.14599933,0.12502371,0.123981446,0.1822817,0.11401211,0.12041044,0.1282008,0.10832311,0.15204713,0.12650028,0.17899065,0.1355528,0.13060015,0.13402314,0.11869773,0.14252825,0.13979954,0.12923205,0.171358,0.13006502,0.11268857,0.12311424,0.14421573,0.1761733,0.1338193,0.11679452,0.1306814,0.11694662,0.11517095,0.13517813,0.12356898,0.17270502,0.10625854,0.12914628,0.111388825,0.15104984,0.1077062,0.18499176,0.13349217,0.11460695,0.113342285,0.11596939,0.122945845,0.11094061,0.11921173,0.11774355,0.1162913,0.11785759,0.11888742,0.15501744,0.118270054,0.14667481,0.108786836,0.14624715,0.144713,0.12565862,0.14300324,0.15452306,0.13285823,0.14143933,0.12691836,0.13814601,0.13110197,0.15754284,0.1117468,0.1287213,0.11624691,0.12364041,0.13345748,0.12599748,0.15220505,0.1411143,0.12467468
9,0.124034524,0.10561314,0.1598206,0.123261794,0.14979723,0.13625365,0.14762884,0.13905428,0.14460048,0.14126833,0.124147125,0.13098833,0.13562171,0.112986214,0.16049887,0.1383608,0.14123952,0.15502708,0.13177986,0.12805814,0.12142156,0.13744162,0.12911244,0.13156389,0.12177961,0.10326952,0.13306648,0.12447874,0.14104721,0.1393529,0.12481166,0.13523977,0.120146826,0.15259998,0.17959045,0.12729147,0.13987114,0.1430761,0.19576308,0.106079996,0.13580543,0.11884902,0.11714902,0.11276725,0.1046707,0.12489463,0.10591054,0.13260885,0.14277622,0.13464263,0.116497196,0.12720191,0.15286219,0.17183052,0.16037443,0.12874201,0.12696281,0.15866683,0.14709249,0.13654554,0.13665874,0.13478394,0.13928917,0.11762208,0.12597443,0.13907006,0.15095665,0.10281474,0.15245652,0.12628952,0.13487627,0.12661386,0.15213506,0.13242161,0.12892759,0.17706572,0.12688814,0.13773479,0.16107792,0.12657459,0.14607824,0.20258626,0.12132734,0.12151643,0.13477978,0.120637566,0.12523532,0.1050316,0.11415094,0.13506058,0.1358763,0.13474637,0.124904186,0.1458303,0.1267373,0.12081125,0.13062002,0.1259443,0.12912403,0.18776786
